,person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat,Donation_Change
303,134,2016-01-01,D,0.0,0.6,0.0,0.8529,TESTING,1,0.0
300,134,2018-01-01,D,0.0,1.0,,0.8529,TESTING,1,0.0
306,136,2012-01-01,D,0.0,0.5,0.0,0.0878,TRAINING,1,0.0
307,136,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0878,TRAINING,1,0.0
305,136,2016-01-01,D,0.0,0.8,0.0,0.0878,TRAINING,1,0.0
304,136,2018-01-01,D,0.0,0.5,,0.0878,TRAINING,1,0.0
308,137,2012-01-01,D,0.0,0.25,0.0,0.9268,TESTING,1,0.0
309,137,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9268,TESTING,1,0.0
310,137,2016-01-01,D,0.0,0.6,0.0,0.9268,TESTING,1,0.0
311,137,2018-01-01,D,0.0,1.0,,0.9268,TESTING,1,0.0
312,138,2012-01-01,D,0.0,0.25,0.0,0.4887,TRAINING,1,0.0
313,138,2014-01-01,D,0.0,0.3333333333333333,0.0,0.4887,TRAINING,1,0.0
314,138,2016-01-01,D,0.0,0.8,0.0,0.4887,TRAINING,1,0.0
315,138,2018-01-01,D,0.0,1.0,,0.4887,TRAINING,1,0.0
319,139,2012-01-01,D,0.0,0.25,0.0,0.4859,TRAINING,1,0.0
318,139,2014-01-01,D,0.0,0.3333333333333333,0.0,0.4859,TRAINING,1,0.0
317,139,2016-01-01,D,0.0,0.8,0.0,0.4859,TRAINING,1,0.0
316,139,2018-01-01,D,0.0,1.0,,0.4859,TRAINING,1,0.0
320,141,2012-01-01,D,2000.0,0.25,3000.0,0.6331,TESTING,1,1000.0
321,141,2014-01-01,D,3000.0,0.3333333333333333,2000.0,0.6331,TESTING,1,-1000.0
322,141,2016-01-01,D,2000.0,0.6,1000.0,0.6331,TESTING,1,-1000.0
323,141,2018-01-01,D,1000.0,1.0,,0.6331,TESTING,1,0.0
324,142,2012-01-01,D,2000.0,0.75,2000.0,0.8571,TESTING,1,0.0
325,142,2014-01-01,D,2000.0,0.3333333333333333,0.0,0.8571,TESTING,1,-2000.0
326,142,2016-01-01,D,0.0,0.8,5400.0,0.8571,TESTING,1,5400.0
327,142,2018-01-01,D,5400.0,1.0,,0.8571,TESTING,1,0.0
330,145,2012-01-01,D,0.0,0.75,0.0,0.8684,TESTING,1,0.0
331,145,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8684,TESTING,1,0.0
328,145,2016-01-01,D,0.0,0.8,0.0,0.8684,TESTING,1,0.0
329,145,2018-01-01,D,0.0,1.0,,0.8684,TESTING,1,0.0
335,146,2012-01-01,D,0.0,0.0,6050.0,0.7208,TESTING,1,6050.0
334,146,2014-01-01,D,6050.0,0.3333333333333333,2000.0,0.7208,TESTING,1,-4050.0
333,146,2016-01-01,D,2000.0,0.6,500.0,0.7208,TESTING,1,-1500.0
332,146,2018-01-01,D,500.0,1.0,,0.7208,TESTING,1,0.0
336,148,2012-01-01,D,0.0,0.25,0.0,0.5276,TRAINING,1,0.0
337,148,2014-01-01,D,0.0,0.3333333333333333,0.0,0.5276,TRAINING,1,0.0
338,148,2016-01-01,D,0.0,0.8,0.0,0.5276,TRAINING,1,0.0
339,148,2018-01-01,D,0.0,0.5,,0.5276,TRAINING,1,0.0
340,150,2012-01-01,D,0.0,0.5,1000.0,0.2062,TRAINING,1,1000.0
341,150,2014-01-01,D,1000.0,0.3333333333333333,2500.0,0.2062,TRAINING,1,1500.0
342,150,2016-01-01,D,2500.0,0.6,10000.0,0.2062,TRAINING,1,7500.0
343,150,2018-01-01,D,10000.0,1.0,,0.2062,TRAINING,1,0.0
345,151,2012-01-01,D,0.0,0.25,0.0,0.0064,TRAINING,1,0.0
344,151,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0064,TRAINING,1,0.0
346,151,2016-01-01,D,0.0,0.6,0.0,0.0064,TRAINING,1,0.0
347,151,2018-01-01,D,0.0,1.0,,0.0064,TRAINING,1,0.0
350,152,2012-01-01,D,2000.0,0.0,500.0,0.8006,TESTING,1,-1500.0
351,152,2014-01-01,D,500.0,0.3333333333333333,1250.0,0.8006,TESTING,1,750.0
349,152,2016-01-01,D,1250.0,0.8,2550.0,0.8006,TESTING,1,1300.0
348,152,2018-01-01,D,2550.0,1.0,,0.8006,TESTING,1,0.0
353,154,2012-01-01,D,0.0,0.0,0.0,0.2568,TRAINING,1,0.0
354,154,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2568,TRAINING,1,0.0
355,154,2016-01-01,D,0.0,0.8,0.0,0.2568,TRAINING,1,0.0
352,154,2018-01-01,D,0.0,1.0,,0.2568,TRAINING,1,0.0
358,156,2012-01-01,D,0.0,0.25,1500.0,0.5463,TRAINING,1,1500.0
359,156,2014-01-01,D,1500.0,0.3333333333333333,2500.0,0.5463,TRAINING,1,1000.0
356,156,2016-01-01,D,2500.0,0.8,0.0,0.5463,TRAINING,1,-2500.0
357,156,2018-01-01,D,0.0,1.0,,0.5463,TRAINING,1,0.0
362,157,2012-01-01,D,0.0,0.0,0.0,0.2027,TRAINING,1,0.0
363,157,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2027,TRAINING,1,0.0
361,157,2016-01-01,D,0.0,0.6,0.0,0.2027,TRAINING,1,0.0
360,157,2018-01-01,D,0.0,1.0,,0.2027,TRAINING,1,0.0
364,159,2012-01-01,D,1500.0,0.0,5200.0,0.2695,TRAINING,1,3700.0
365,159,2014-01-01,D,5200.0,0.3333333333333333,0.0,0.2695,TRAINING,1,-5200.0
366,159,2016-01-01,D,0.0,0.6,0.0,0.2695,TRAINING,1,0.0
367,159,2018-01-01,D,0.0,1.0,,0.2695,TRAINING,1,0.0
369,160,2012-01-01,D,0.0,0.5,0.0,0.9687,TESTING,1,0.0
370,160,2014-01-01,D,0.0,0.6666666666666666,4200.0,0.9687,TESTING,1,4200.0
371,160,2016-01-01,D,4200.0,0.8,0.0,0.9687,TESTING,1,-4200.0
368,160,2018-01-01,D,0.0,1.0,,0.9687,TESTING,1,0.0
375,161,2012-01-01,D,0.0,0.0,1000.0,0.5258,TRAINING,1,1000.0
374,161,2014-01-01,D,1000.0,0.3333333333333333,0.0,0.5258,TRAINING,1,-1000.0
373,161,2016-01-01,D,0.0,0.6,0.0,0.5258,TRAINING,1,0.0
372,161,2018-01-01,D,0.0,1.0,,0.5258,TRAINING,1,0.0
377,162,2012-01-01,D,450.0,0.5,2000.0,0.5618,TESTING,1,1550.0
378,162,2014-01-01,D,2000.0,0.3333333333333333,2725.0,0.5618,TESTING,1,725.0
379,162,2016-01-01,D,2725.0,0.8,5272.0,0.5618,TESTING,1,2547.0
376,162,2018-01-01,D,5272.0,1.0,,0.5618,TESTING,1,0.0
382,165,2012-01-01,D,950.0,0.5,3300.0,0.6736,TESTING,1,2350.0
380,165,2014-01-01,D,3300.0,0.6666666666666666,800.0,0.6736,TESTING,1,-2500.0
381,165,2016-01-01,D,800.0,0.8,0.0,0.6736,TESTING,1,-800.0
383,165,2018-01-01,D,0.0,1.0,,0.6736,TESTING,1,0.0
387,166,2012-01-01,D,2500.0,0.0,0.0,0.0391,TRAINING,1,-2500.0
386,166,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0391,TRAINING,1,0.0
385,166,2016-01-01,D,0.0,0.6,0.0,0.0391,TRAINING,1,0.0
384,166,2018-01-01,D,0.0,1.0,,0.0391,TRAINING,1,0.0
388,167,2012-01-01,D,1000.0,0.0,0.0,0.5892,TESTING,1,-1000.0
389,167,2014-01-01,D,0.0,0.3333333333333333,0.0,0.5892,TESTING,1,0.0
390,167,2016-01-01,D,0.0,0.6,0.0,0.5892,TESTING,1,0.0
391,167,2018-01-01,D,0.0,1.0,,0.5892,TESTING,1,0.0
392,168,2012-01-01,D,0.0,0.0,0.0,0.3561,TRAINING,1,0.0
393,168,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3561,TRAINING,1,0.0
394,168,2016-01-01,D,0.0,0.6,0.0,0.3561,TRAINING,1,0.0
395,168,2018-01-01,D,0.0,1.0,,0.3561,TRAINING,1,0.0
399,169,2012-01-01,D,0.0,0.5,4600.0,0.6184,TESTING,1,4600.0
398,169,2014-01-01,D,4600.0,0.6666666666666666,3500.0,0.6184,TESTING,1,-1100.0
397,169,2016-01-01,D,3500.0,0.8,3005.0,0.6184,TESTING,1,-495.0
396,169,2018-01-01,D,3005.0,1.0,,0.6184,TESTING,1,0.0
400,172,2012-01-01,D,0.0,0.25,0.0,0.3099,TRAINING,1,0.0
401,172,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3099,TRAINING,1,0.0
402,172,2016-01-01,D,0.0,0.0,0.0,0.3099,TRAINING,1,0.0
403,172,2018-01-01,D,0.0,0.0,,0.3099,TRAINING,1,0.0
404,174,2012-01-01,D,0.0,0.0,500.0,0.6278,TESTING,1,500.0
405,174,2014-01-01,D,500.0,0.3333333333333333,31.0,0.6278,TESTING,1,-469.0
406,174,2016-01-01,D,31.0,0.8,170.0,0.6278,TESTING,1,139.0
407,174,2018-01-01,D,170.0,1.0,,0.6278,TESTING,1,0.0
410,178,2012-01-01,D,0.0,0.75,0.0,0.8392,TESTING,1,0.0
411,178,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8392,TESTING,1,0.0
408,178,2016-01-01,D,0.0,0.8,15.0,0.8392,TESTING,1,15.0
409,178,2018-01-01,D,15.0,1.0,,0.8392,TESTING,1,0.0
412,179,2012-01-01,D,0.0,0.0,0.0,0.3104,TRAINING,1,0.0
413,179,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3104,TRAINING,1,0.0
414,179,2016-01-01,D,0.0,0.6,0.0,0.3104,TRAINING,1,0.0
415,179,2018-01-01,D,0.0,1.0,,0.3104,TRAINING,1,0.0
416,182,2012-01-01,D,0.0,0.5,1000.0,0.7215,TESTING,1,1000.0
417,182,2014-01-01,D,1000.0,0.3333333333333333,1000.0,0.7215,TESTING,1,0.0
418,182,2016-01-01,D,1000.0,0.8,25.0,0.7215,TESTING,1,-975.0
419,182,2018-01-01,D,25.0,1.0,,0.7215,TESTING,1,0.0
422,185,2012-01-01,D,0.0,0.25,0.0,0.2454,TRAINING,1,0.0
423,185,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2454,TRAINING,1,0.0
420,185,2016-01-01,D,0.0,0.8,0.0,0.2454,TRAINING,1,0.0
421,185,2018-01-01,D,0.0,1.0,,0.2454,TRAINING,1,0.0
424,186,2012-01-01,D,250.0,0.0,0.0,0.8996,TESTING,1,-250.0
425,186,2014-01-01,D,0.0,0.3333333333333333,250.0,0.8996,TESTING,1,250.0
426,186,2016-01-01,D,250.0,0.8,1000.0,0.8996,TESTING,1,750.0
427,186,2018-01-01,D,1000.0,1.0,,0.8996,TESTING,1,0.0
428,187,2012-01-01,D,0.0,0.75,5200.0,0.2731,TRAINING,1,5200.0
429,187,2014-01-01,D,5200.0,0.3333333333333333,6400.0,0.2731,TRAINING,1,1200.0
430,187,2016-01-01,D,6400.0,0.6,5435.0,0.2731,TRAINING,1,-965.0
431,187,2018-01-01,D,5435.0,1.0,,0.2731,TRAINING,1,0.0
433,188,2012-01-01,D,1000.0,0.25,0.0,0.8154,TESTING,1,-1000.0
434,188,2014-01-01,D,0.0,0.3333333333333333,2700.0,0.8154,TESTING,1,2700.0
435,188,2016-01-01,D,2700.0,0.8,0.0,0.8154,TESTING,1,-2700.0
432,188,2018-01-01,D,0.0,1.0,,0.8154,TESTING,1,0.0
438,191,2012-01-01,D,500.0,0.0,0.0,0.9762,TESTING,1,-500.0
439,191,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9762,TESTING,1,0.0
436,191,2016-01-01,D,0.0,0.6,0.0,0.9762,TESTING,1,0.0
437,191,2018-01-01,D,0.0,1.0,,0.9762,TESTING,1,0.0
442,193,2012-01-01,D,0.0,0.25,0.0,0.5056,TRAINING,1,0.0
443,193,2014-01-01,D,0.0,0.3333333333333333,0.0,0.5056,TRAINING,1,0.0
440,193,2016-01-01,D,0.0,0.6,0.0,0.5056,TRAINING,1,0.0
441,193,2018-01-01,D,0.0,1.0,,0.5056,TRAINING,1,0.0
446,194,2012-01-01,D,0.0,0.25,0.0,0.8109999999999999,TESTING,1,0.0
447,194,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8109999999999999,TESTING,1,0.0
444,194,2016-01-01,D,0.0,0.6,0.0,0.8109999999999999,TESTING,1,0.0
445,194,2018-01-01,D,0.0,1.0,,0.8109999999999999,TESTING,1,0.0
448,195,2012-01-01,D,0.0,0.5,0.0,0.384,TRAINING,1,0.0
449,195,2014-01-01,D,0.0,0.3333333333333333,1000.0,0.384,TRAINING,1,1000.0
450,195,2016-01-01,D,1000.0,0.8,500.0,0.384,TRAINING,1,-500.0
451,195,2018-01-01,D,500.0,1.0,,0.384,TRAINING,1,0.0
452,197,2012-01-01,D,2500.0,0.0,0.0,0.1028,TRAINING,1,-2500.0
453,197,2014-01-01,D,0.0,0.3333333333333333,0.0,0.1028,TRAINING,1,0.0
454,197,2016-01-01,D,0.0,0.6,0.0,0.1028,TRAINING,1,0.0
455,197,2018-01-01,D,0.0,1.0,,0.1028,TRAINING,1,0.0
456,198,2012-01-01,D,0.0,0.25,0.0,0.7385,TESTING,1,0.0
457,198,2014-01-01,D,0.0,0.6666666666666666,0.0,0.7385,TESTING,1,0.0
458,198,2016-01-01,D,0.0,0.8,0.0,0.7385,TESTING,1,0.0
459,198,2018-01-01,D,0.0,1.0,,0.7385,TESTING,1,0.0
462,199,2012-01-01,D,0.0,0.0,0.0,0.0502,TRAINING,1,0.0
463,199,2014-01-01,D,0.0,0.3333333333333333,500.0,0.0502,TRAINING,1,500.0
461,199,2016-01-01,D,500.0,0.6,0.0,0.0502,TRAINING,1,-500.0
460,199,2018-01-01,D,0.0,1.0,,0.0502,TRAINING,1,0.0
464,200,2012-01-01,R,0.0,1.0,0.0,0.691,TESTING,0,0.0
465,200,2014-01-01,R,0.0,0.6666666666666666,0.0,0.691,TESTING,0,0.0
466,200,2016-01-01,R,0.0,0.8,0.0,0.691,TESTING,0,0.0
467,200,2018-01-01,R,0.0,0.0,,0.691,TESTING,0,0.0
469,203,2012-01-01,R,0.0,1.0,0.0,0.9062,TESTING,0,0.0
470,203,2014-01-01,R,0.0,0.6666666666666666,0.0,0.9062,TESTING,0,0.0
471,203,2016-01-01,R,0.0,0.6,0.0,0.9062,TESTING,0,0.0
468,203,2018-01-01,R,0.0,0.0,,0.9062,TESTING,0,0.0
474,205,2012-01-01,R,0.0,0.5,0.0,0.6938,TESTING,0,0.0
475,205,2014-01-01,R,0.0,0.6666666666666666,6000.0,0.6938,TESTING,0,6000.0
473,205,2016-01-01,R,6000.0,0.8,5000.0,0.6938,TESTING,0,-1000.0
472,205,2018-01-01,R,5000.0,0.0,,0.6938,TESTING,0,0.0
476,206,2012-01-01,R,0.0,0.5,0.0,0.4488,TRAINING,0,0.0
477,206,2014-01-01,R,0.0,0.6666666666666666,1000.0,0.4488,TRAINING,0,1000.0
478,206,2016-01-01,R,1000.0,0.8,0.0,0.4488,TRAINING,0,-1000.0
479,206,2018-01-01,R,0.0,0.0,,0.4488,TRAINING,0,0.0
480,207,2012-01-01,R,0.0,0.75,0.0,0.0206,TRAINING,0,0.0
481,207,2014-01-01,R,0.0,0.6666666666666666,0.0,0.0206,TRAINING,0,0.0
482,207,2016-01-01,R,0.0,0.8,0.0,0.0206,TRAINING,0,0.0
483,207,2018-01-01,R,0.0,0.0,,0.0206,TRAINING,0,0.0
487,211,2012-01-01,R,0.0,0.75,0.0,0.5134,TRAINING,0,0.0
486,211,2014-01-01,R,0.0,0.6666666666666666,0.0,0.5134,TRAINING,0,0.0
485,211,2016-01-01,R,0.0,0.8,0.0,0.5134,TRAINING,0,0.0
484,211,2018-01-01,R,0.0,0.0,,0.5134,TRAINING,0,0.0
488,212,2012-01-01,R,1000.0,0.75,1000.0,0.5977,TESTING,0,0.0
489,212,2014-01-01,R,1000.0,0.6666666666666666,1000.0,0.5977,TESTING,0,0.0
490,212,2016-01-01,R,1000.0,0.6,0.0,0.5977,TESTING,0,-1000.0
491,212,2018-01-01,R,0.0,0.0,,0.5977,TESTING,0,0.0
492,214,2012-01-01,R,0.0,0.75,0.0,0.7721,TESTING,0,0.0
493,214,2014-01-01,R,0.0,0.6666666666666666,0.0,0.7721,TESTING,0,0.0
494,214,2016-01-01,R,0.0,0.8,0.0,0.7721,TESTING,0,0.0
495,214,2018-01-01,R,0.0,0.0,,0.7721,TESTING,0,0.0
498,217,2012-01-01,R,0.0,0.75,0.0,0.7035,TESTING,0,0.0
499,217,2014-01-01,R,0.0,1.0,0.0,0.7035,TESTING,0,0.0
496,217,2016-01-01,R,0.0,0.8,0.0,0.7035,TESTING,0,0.0
497,217,2018-01-01,R,0.0,0.0,,0.7035,TESTING,0,0.0
503,226,2012-01-01,R,0.0,0.75,0.0,0.1484,TRAINING,0,0.0
502,226,2014-01-01,R,0.0,0.6666666666666666,0.0,0.1484,TRAINING,0,0.0
501,226,2016-01-01,R,0.0,0.8,0.0,0.1484,TRAINING,0,0.0
500,226,2018-01-01,R,0.0,0.0,,0.1484,TRAINING,0,0.0
504,227,2012-01-01,R,0.0,0.75,0.0,0.7858,TESTING,0,0.0
505,227,2014-01-01,R,0.0,0.6666666666666666,0.0,0.7858,TESTING,0,0.0
506,227,2016-01-01,R,0.0,0.6,0.0,0.7858,TESTING,0,0.0
507,227,2018-01-01,R,0.0,0.0,,0.7858,TESTING,0,0.0
508,233,2012-01-01,R,0.0,0.25,0.0,0.0863,TRAINING,0,0.0
509,233,2014-01-01,R,0.0,0.3333333333333333,0.0,0.0863,TRAINING,0,0.0
510,233,2016-01-01,R,0.0,0.6,0.0,0.0863,TRAINING,0,0.0
511,233,2018-01-01,R,0.0,0.0,,0.0863,TRAINING,0,0.0
514,234,2012-01-01,R,0.0,0.75,0.0,0.27899999999999997,TRAINING,0,0.0
515,234,2014-01-01,R,0.0,0.6666666666666666,0.0,0.27899999999999997,TRAINING,0,0.0
512,234,2016-01-01,R,0.0,0.8,0.0,0.27899999999999997,TRAINING,0,0.0
513,234,2018-01-01,R,0.0,0.5,,0.27899999999999997,TRAINING,0,0.0
516,235,2012-01-01,R,0.0,0.5,0.0,0.7408,TESTING,0,0.0
517,235,2014-01-01,R,0.0,0.3333333333333333,0.0,0.7408,TESTING,0,0.0
518,235,2016-01-01,R,0.0,0.6,0.0,0.7408,TESTING,0,0.0
519,235,2018-01-01,R,0.0,0.0,,0.7408,TESTING,0,0.0
520,240,2012-01-01,R,0.0,0.75,0.0,0.8755,TESTING,0,0.0
521,240,2014-01-01,R,0.0,0.6666666666666666,0.0,0.8755,TESTING,0,0.0
522,240,2016-01-01,R,0.0,0.8,0.0,0.8755,TESTING,0,0.0
523,240,2018-01-01,R,0.0,0.0,,0.8755,TESTING,0,0.0
524,247,2012-01-01,R,0.0,0.75,1000.0,0.5116,TRAINING,0,1000.0
525,247,2014-01-01,R,1000.0,0.6666666666666666,1000.0,0.5116,TRAINING,0,0.0
526,247,2016-01-01,R,1000.0,0.8,2601.0,0.5116,TRAINING,0,1601.0
527,247,2018-01-01,R,2601.0,0.0,,0.5116,TRAINING,0,0.0
531,252,2012-01-01,R,2500.0,0.5,1000.0,0.6019,TESTING,0,-1500.0
530,252,2014-01-01,R,1000.0,1.0,0.0,0.6019,TESTING,0,-1000.0
528,252,2016-01-01,R,0.0,0.6,0.0,0.6019,TESTING,0,0.0
529,252,2018-01-01,R,0.0,0.5,,0.6019,TESTING,0,0.0
532,253,2012-01-01,R,2500.0,0.75,1000.0,0.1757,TRAINING,0,-1500.0
533,253,2014-01-01,R,1000.0,0.0,0.0,0.1757,TRAINING,0,-1000.0
534,253,2016-01-01,R,0.0,0.0,0.0,0.1757,TRAINING,0,0.0
535,253,2018-01-01,R,0.0,0.0,,0.1757,TRAINING,0,0.0
537,258,2012-01-01,R,0.0,0.25,0.0,0.7574,TESTING,0,0.0
538,258,2014-01-01,R,0.0,0.6666666666666666,0.0,0.7574,TESTING,0,0.0
539,258,2016-01-01,R,0.0,0.4,0.0,0.7574,TESTING,0,0.0
536,258,2018-01-01,R,0.0,0.0,,0.7574,TESTING,0,0.0
543,260,2012-01-01,R,3500.0,0.75,2000.0,0.6374,TESTING,0,-1500.0
542,260,2014-01-01,R,2000.0,0.6666666666666666,4000.0,0.6374,TESTING,0,2000.0
541,260,2016-01-01,R,4000.0,0.8,1000.0,0.6374,TESTING,0,-3000.0
540,260,2018-01-01,R,1000.0,0.0,,0.6374,TESTING,0,0.0
545,261,2012-01-01,R,0.0,0.75,0.0,0.6892,TESTING,0,0.0
546,261,2014-01-01,R,0.0,0.6666666666666666,0.0,0.6892,TESTING,0,0.0
547,261,2016-01-01,R,0.0,0.6,0.0,0.6892,TESTING,0,0.0
544,261,2018-01-01,R,0.0,0.0,,0.6892,TESTING,0,0.0
550,265,2012-01-01,R,0.0,0.75,0.0,0.1678,TRAINING,0,0.0
551,265,2014-01-01,R,0.0,0.6666666666666666,0.0,0.1678,TRAINING,0,0.0
548,265,2016-01-01,R,0.0,0.8,0.0,0.1678,TRAINING,0,0.0
549,265,2018-01-01,R,0.0,0.0,,0.1678,TRAINING,0,0.0
554,268,2012-01-01,R,6500.0,0.75,3500.0,0.3242,TRAINING,0,-3000.0
555,268,2014-01-01,R,3500.0,0.6666666666666666,1500.0,0.3242,TRAINING,0,-2000.0
552,268,2016-01-01,R,1500.0,0.8,1500.0,0.3242,TRAINING,0,0.0
553,268,2018-01-01,R,1500.0,0.0,,0.3242,TRAINING,0,0.0
559,269,2012-01-01,R,4000.0,0.75,3000.0,0.4636,TRAINING,0,-1000.0
558,269,2014-01-01,R,3000.0,0.6666666666666666,9000.0,0.4636,TRAINING,0,6000.0
557,269,2016-01-01,R,9000.0,0.8,10000.0,0.4636,TRAINING,0,1000.0
556,269,2018-01-01,R,10000.0,0.0,,0.4636,TRAINING,0,0.0
560,271,2012-01-01,R,0.0,0.75,0.0,0.1059,TRAINING,0,0.0
561,271,2014-01-01,R,0.0,0.6666666666666666,0.0,0.1059,TRAINING,0,0.0
562,271,2016-01-01,R,0.0,0.8,0.0,0.1059,TRAINING,0,0.0
563,271,2018-01-01,R,0.0,0.0,,0.1059,TRAINING,0,0.0
564,273,2012-01-01,R,0.0,0.75,0.0,0.6668,TESTING,0,0.0
565,273,2014-01-01,R,0.0,0.3333333333333333,0.0,0.6668,TESTING,0,0.0
566,273,2016-01-01,R,0.0,0.8,0.0,0.6668,TESTING,0,0.0
567,273,2018-01-01,R,0.0,0.0,,0.6668,TESTING,0,0.0
570,280,2012-01-01,R,0.0,0.75,0.0,0.9914,TESTING,0,0.0
571,280,2014-01-01,R,0.0,0.6666666666666666,0.0,0.9914,TESTING,0,0.0
568,280,2016-01-01,R,0.0,0.8,0.0,0.9914,TESTING,0,0.0
569,280,2018-01-01,R,0.0,0.0,,0.9914,TESTING,0,0.0
572,281,2012-01-01,R,0.0,0.75,0.0,0.3157,TRAINING,0,0.0
573,281,2014-01-01,R,0.0,0.6666666666666666,0.0,0.3157,TRAINING,0,0.0
574,281,2016-01-01,R,0.0,0.6,0.0,0.3157,TRAINING,0,0.0
575,281,2018-01-01,R,0.0,0.0,,0.3157,TRAINING,0,0.0
576,282,2012-01-01,R,0.0,0.75,0.0,0.5915,TESTING,0,0.0
577,282,2014-01-01,R,0.0,0.6666666666666666,0.0,0.5915,TESTING,0,0.0
578,282,2016-01-01,R,0.0,0.8,0.0,0.5915,TESTING,0,0.0
579,282,2018-01-01,R,0.0,0.0,,0.5915,TESTING,0,0.0
580,285,2012-01-01,R,0.0,0.5,0.0,0.9789,TESTING,0,0.0
581,285,2014-01-01,R,0.0,0.6666666666666666,0.0,0.9789,TESTING,0,0.0
582,285,2016-01-01,R,0.0,0.2,0.0,0.9789,TESTING,0,0.0
583,285,2018-01-01,R,0.0,0.0,,0.9789,TESTING,0,0.0
587,287,2012-01-01,R,0.0,0.75,0.0,0.2693,TRAINING,0,0.0
586,287,2014-01-01,R,0.0,0.6666666666666666,0.0,0.2693,TRAINING,0,0.0
585,287,2016-01-01,R,0.0,0.8,0.0,0.2693,TRAINING,0,0.0
584,287,2018-01-01,R,0.0,0.0,,0.2693,TRAINING,0,0.0
588,289,2012-01-01,R,0.0,0.5,0.0,0.3627,TRAINING,0,0.0
589,289,2014-01-01,R,0.0,0.6666666666666666,0.0,0.3627,TRAINING,0,0.0
590,289,2016-01-01,R,0.0,0.8,0.0,0.3627,TRAINING,0,0.0
591,289,2018-01-01,R,0.0,0.0,,0.3627,TRAINING,0,0.0
592,295,2012-01-01,R,4000.0,0.75,5000.0,0.9555,TESTING,0,1000.0
593,295,2014-01-01,R,5000.0,0.6666666666666666,1750.0,0.9555,TESTING,0,-3250.0
594,295,2016-01-01,R,1750.0,0.8,13000.0,0.9555,TESTING,0,11250.0
595,295,2018-01-01,R,13000.0,0.0,,0.9555,TESTING,0,0.0
