first,last,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,pageid,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
Jim,McGovern,D,,,,,,,,,440807.0,Q1337459,Jim_McGovern_(American_politician),Jim McGovern,male,white,catholicism,1959-11-20,,"42.27139,-71.79889",,4.0,True,True,True,True
Joseph,III,D,,,,,,,,,34500244.0,Q1707784,Joe_Kennedy_III,Joseph P. Kennedy III,male,white,,1980-10-04,,"42.35,-71.16",,4.0,True,True,True,True
Katherine,Clark,D,,,,,,,,,29642899.0,Q6376330,Katherine_Clark,Katherine Clark,female,white,,1963-07-17,,"41.30833,-72.925",,4.0,True,True,True,True
Stephen,Lynch,D,,,,,,,,,440836.0,Q2344921,Stephen_F._Lynch,Stephen Lynch,male,white,catholicism,1955-03-31,,"42.35778,-71.06167",,4.0,True,True,True,True
William,Keating,D,,,,,,,,,25616173.0,Q775412,Bill_Keating_(politician),William Keating,male,white,,1952-09-06,,"42.19444,-71.2",,4.0,True,True,True,True
Bill,Huizenga,R,,,,,,,,,21118339.0,Q862199,Bill_Huizenga,Bill Huizenga,male,white,,1969-01-31,,"42.8125,-86.01861",,4.0,True,True,True,True
Justin,Amash,R,,,,,,,,,27476249.0,Q1714165,Justin_Amash,Justin Amash,male,white,,1980-04-18,,"42.96125,-85.65572",,4.0,True,True,True,True
Dan,Kildee,D,,,,,,,,,37018031.0,Q3880272,Dan_Kildee,Dan Kildee,male,white,,1958-08-11,,"43.01889,-83.69333",,4.0,True,True,True,True
Fred,Upton,R,,,,,,,,,468360.0,Q505236,Fred_Upton,Fred Upton,male,white,protestantism,1953-04-23,,"42.09806,-86.48417",,4.0,True,True,True,True
Tim,Walberg,R,,,,,,,,,5203142.0,Q978618,Tim_Walberg,Tim Walberg,male,white,,1951-04-12,,"41.88194,-87.62778",,4.0,True,True,True,True
Betty,McCollum,D,,,,,,,,,404905.0,Q434893,Betty_McCollum,Betty McCollum,female,white,catholicism,1954-07-12,,"44.9733,-93.2643",,4.0,True,True,True,True
Collin,Peterson,D,,,,,,,,,493581.0,Q434458,Collin_Peterson,Collin C. Peterson,male,white,protestantism lutheran,1944-06-29,,"46.87722,-96.78944",,4.0,True,True,True,True
Steven,Palazzo,R,,,,,,,,,27586261.0,Q24230,Steven_Palazzo,Steven Palazzo,male,white,,1970-02-21,,"30.4,-89.06667",,4.0,True,True,True,True
William,Jr.,D,,,,,,,,,409204.0,Q959455,Lacy_Clay,"William Lacy Clay, Jr.",male,white,catholicism,1956-07-27,,"38.61667,-90.2",,4.0,True,True,True,True
Ann,Wagner,R,,,,,,,,,2592512.0,Q3917251,Ann_Wagner,Ann Wagner,female,white,,1962-09-13,,"38.61667,-90.2",,4.0,True,True,True,True
Blaine,Luetkemeyer,R,,,,,,,,,19976669.0,Q522181,Blaine_Luetkemeyer,Blaine Luetkemeyer,male,white,,1952-05-07,,"38.57667,-92.17361",,4.0,True,True,True,True
Vicky,Hartzler,R,,,,,,,,,25663335.0,Q375389,Vicky_Hartzler,Vicky Hartzler,female,white,,1960-10-13,,"38.4825,-94.3525",,4.0,True,True,True,True
Emanuel,Cleaver,D,,,,,,,,,1160411.0,Q1334654,Emanuel_Cleaver,Emanuel Cleaver,male,black,protestantism methodist,1944-10-26,,"32.39972,-96.84722",,4.0,True,True,True,True
Sam,Graves,R,,,,,,,,,961504.0,Q465638,Sam_Graves,Sam Graves,male,white,protestantism baptist,1963-11-07,,"40.4411,-95.3828",,4.0,True,True,True,True
Bill,Long,R,,,,,,,,,29477282.0,Q863171,Billy_Long,Bill Long,male,white,protestantism reformed,1955-08-11,,"37.195,-93.28611",,4.0,True,True,True,True
Jason,Smith,R,,,,,,,,,30501036.0,Q6163589,Jason_Smith_(politician),Jason T. Smith,male,white,,1980-06-16,,"38.61667,-90.2",,4.0,True,True,True,True
Jeff,Fortenberry,R,,,,,,,,,1184436.0,Q1397331,Jeff_Fortenberry,Jeff Fortenberry,male,white,catholicism,1960-12-27,,"30.4475,-91.17861",,4.0,True,True,True,True
Adrian,Smith,R,,,,,,,,,4484938.0,Q373443,Adrian_Smith_(politician),Adrian Smith,male,white,,1970-12-19,,"41.86722,-103.66083",,4.0,True,True,True,True
Dina,Titus,D,,,,,,,,,2495543.0,Q524440,Dina_Titus,Dina Titus,female,white,,1950-05-23,,"30.8364,-83.9783",,4.0,True,True,True,True
Mark,Amodei,R,,,,,,,,,13224106.0,Q23944,Mark_Amodei,Mark Amodei,male,white,,1958-06-12,,"39.16083,-119.75389",,4.0,True,True,True,True
Donald,Norcross,D,,,,,,,,,24955931.0,Q5294942,Donald_Norcross,Donald Norcross,male,white,,1958-12-13,,"39.9368,-75.1066",,4.0,True,True,True,True
Chris,Smith,R,,,,,,,,,694740.0,Q981167,Chris_Smith_(New_Jersey_politician),Chris Smith,male,white,catholicism,1953-03-04,,"40.60722,-74.28111",,4.0,True,True,True,True
Albio,Sires,D,,,,,,,,,2907738.0,Q527509,Albio_Sires,Albio Sires,male,hispanic,,1951-01-26,,"22.93278,-82.38694",,4.0,True,True,True,True
Bill,Pascrell,D,,,,,,,,,964457.0,Q529090,Bill_Pascrell,"Bill Pascrell, Jr.",male,white,catholicism,1937-01-25,,"40.91556,-74.16306",,4.0,True,True,True,True
Donald,Payne,D,,,,,,,,,35941258.0,Q1240224,Donald_Payne_Jr.,Donald Payne Jr.,male,black,,1958-12-16,,"40.73528,-74.185",,4.0,True,True,True,True
Ben,Lujan,D,,,,,,,,,16939161.0,Q324256,Ben_Ray_Luján,Ben Lujan,male,hispanic,,1972-06-07,,"35.66667,-105.96667",,4.0,True,True,True,True
Peter,King,R,,,,,,,,,960364.0,Q953554,Peter_T._King,Peter T. King,male,white,catholicism,1944-04-05,,"40.72833,-73.99417",,4.0,True,True,True,True
Gregory,Meeks,D,,,,,,,,,30876298.0,Q1545391,Gregory_Meeks,Gregory W. Meeks,male,black,protestantism methodist,1953-09-25,,"40.79796,-73.94005",,4.0,True,True,True,True
Nydia,Velázquez,D,,,,,,,,,948525.0,Q434890,Nydia_Velázquez,Nydia M. Velázquez,female,hispanic,catholicism,1953-03-28,,"18.05056,-65.87944",,4.0,True,True,True,True
Yvette,Clarke,D,,,,,,,,,2045683.0,Q461679,Yvette_Clarke,Yvette D. Clarke,female,black,anglicanism,1964-11-21,,"40.67,-73.94",,4.0,True,True,True,True
José,Serrano,D,,,,,,,,,945385.0,Q460267,José_E._Serrano,José E. Serrano,male,hispanic,catholicism,1943-10-24,,"18.20111,-67.13972",,4.0,True,True,True,True
Eliot,Engel,D,,,,,,,,,963053.0,Q1329618,Eliot_Engel,Eliot L. Engel,male,white,judaism,1947-02-18,,"40.67,-73.94",,4.0,True,True,True,True
Tom,Reed,R,,,,,,,,,24090330.0,Q2440035,Tom_Reed_(politician),Tom Reed,male,white,,1971-11-18,,"41.5225,-88.14056",,4.0,True,True,True,True
Brian,Higgins,D,,,,,,,,,1184405.0,Q505581,Brian_Higgins,Brian Higgins,male,white,catholicism,1959-10-06,,"42.90472,-78.84944",,4.0,True,True,True,True
Chris,Collins,R,,,,,,,,,14122304.0,Q5106218,Chris_Collins_(American_politician),Chris Collins,male,white,,1950-05-20,,"42.80417,-73.92917",,4.0,True,True,True,True
G.,Butterfield,D,,,,,,,,,850143.0,Q983532,G._K._Butterfield,G. K. Butterfield,male,black,protestantism baptist,1947-04-27,,"35.73106,-77.92831",,4.0,True,True,True,True
Walter,Jones,R,,,,,,,,,850160.0,Q512537,Walter_B._Jones_Jr.,Walter B. Jones,male,white,catholicism,1943-02-10,,"35.5942,-77.5872",,4.0,True,True,True,True
David,Price,D,,,,,,,,,706615.0,Q984010,David_Price_(American_politician),David Price,male,white,protestantism baptist,1940-08-17,,"36.145,-82.41083",,4.0,True,True,True,True
Virginia,Foxx,R,,,,,,,,,451717.0,Q458453,Virginia_Foxx,Virginia Foxx,female,white,catholicism,1943-06-29,,"40.67,-73.94",,4.0,True,True,True,True
Richard,Hudson,R,,,,,,,,,36893920.0,Q3956999,Richard_Hudson_(American_politician),Richard Hudson,male,white,,1971-11-04,,"36.67495,-76.9308",,4.0,True,True,True,True
Patrick,McHenry,R,,,,,,,,,451646.0,Q2057809,Patrick_McHenry,Patrick McHenry,male,white,catholicism,1975-10-22,,"35.25528,-81.18028",,4.0,True,True,True,True
Mark,Meadows,R,,,,,,,,,36888036.0,Q3956796,Mark_Meadows_(North_Carolina_politician),Mark Meadows,male,white,,1959-07-28,,"49.15972,5.38278",,4.0,True,True,True,True
Alma,Adams,D,,,,,,,,,451590.0,Q4733597,Alma_Adams,Alma Adams,female,black,,1946-05-27,,"35.97056,-79.9975",,4.0,True,True,True,True
George,Holding,R,,,,,,,,,33542651.0,Q3956828,George_Holding,George Holding,male,white,,1968-04-17,,"35.81889,-78.64472",,4.0,True,True,True,True
Steve,Chabot,R,,,,,,,,,703451.0,Q506694,Steve_Chabot,Steve Chabot,male,white,catholicism,1953-01-22,,"39.13333,-84.5",,4.0,True,True,True,True
Brad,Wenstrup,R,,,,,,,,,34991505.0,Q892413,Brad_Wenstrup,Brad Wenstrup,male,white,,1958-06-17,,"39.13333,-84.5",,4.0,True,True,True,True
Joyce,Beatty,D,,,,,,,,,881669.0,Q976417,Joyce_Beatty,Joyce Beatty,female,black,,1950-03-12,,"39.76667,-84.2",,4.0,True,True,True,True
Jim,Jordan,R,,,,,,,,,1238368.0,Q186215,Jim_Jordan_(American_politician),Jim Jordan,male,white,,1964-02-17,,"40.1108,-83.7514",,4.0,True,True,True,True
Bob,Latta,R,,,,,,,,,13112396.0,Q888061,Bob_Latta,Bob Latta,male,white,,1956-04-18,,"40.8939,-83.8917",,4.0,True,True,True,True
Bill,Johnson,R,,,,,,,,,29461208.0,Q862215,Bill_Johnson_(Ohio_politician),Bill Johnson,male,white,,1954-11-10,,"34.9525,-78.51056",,4.0,True,True,True,True
Bob,Gibbs,R,,,,,,,,,2600589.0,Q887945,Bob_Gibbs,Bob Gibbs,male,white,,1954-06-14,,"40.7578,-86.0678",,4.0,True,True,True,True
Marcy,Kaptur,D,,,,,,,,,766958.0,Q436537,Marcy_Kaptur,Marcy Kaptur,female,white,catholicism,1946-06-17,,"41.66667,-83.58333",,4.0,True,True,True,True
Mike,Turner,R,,,,,,,,,703501.0,Q505722,Mike_Turner,Mike Turner,male,white,protestantism reformed,1960-01-11,,"39.76667,-84.2",,4.0,True,True,True,True
Marcia,Fudge,D,,,,,,,,,19286605.0,Q461746,Marcia_Fudge,Marcia Fudge,female,black,,1952-10-29,,"41.48222,-81.66972",,4.0,True,True,True,True
Tim,Ryan,D,,,,,,,,,767470.0,Q513960,Tim_Ryan_(politician),Tim Ryan,male,white,catholicism,1973-07-16,,"41.18528,-80.75722",,4.0,True,True,True,True
David,Joyce,R,,,,,,,,,36691281.0,Q976778,David_Joyce_(politician),David Joyce,male,white,,1957-03-17,,"41.48222,-81.66972",,4.0,True,True,True,True
Steve,Stivers,R,,,,,,,,,3182821.0,Q324099,Steve_Stivers,Steve Stivers,male,white,,1965-03-24,,"38.7394,-83.8411",,4.0,True,True,True,True
Markwayne,Mullin,R,,,,,,,,,37205890.0,Q3448772,Markwayne_Mullin,Markwayne Mullin,male,native,,1977-07-26,,"36.13139,-95.93722",,4.0,True,True,True,True
Frank,Lucas,R,,,,,,,,,47725651.0,Q246049,Frank_Lucas_(Oklahoma_politician),Frank Lucas,male,white,protestantism baptist,1960-01-06,,"35.6125,-99.67389",,4.0,True,True,True,True
Tom,Cole,R,,,,,,,,,962197.0,Q173839,Tom_Cole,Tom Cole,male,native,protestantism methodist,1949-04-28,,"32.50821,-93.76296",,4.0,True,True,True,True
Suzanne,Bonamici,D,,,,,,,,,10174089.0,Q45946,Suzanne_Bonamici,Suzanne Bonamici,female,white,,1954-10-14,,"42.33167,-83.0475",,4.0,True,True,True,True
Greg,Walden,R,,,,,,,,,699507.0,Q1397359,Greg_Walden,Greg Walden,male,white,anglicanism,1957-01-10,,"45.60111,-121.18278",,4.0,True,True,True,True
Earl,Blumenauer,D,,,,,,,,,699496.0,Q748066,Earl_Blumenauer,Earl Blumenauer,male,white,,1948-08-16,,"45.51667,-122.66667",,4.0,True,True,True,True
Peter,DeFazio,D,,,,,,,,,699474.0,Q1758507,Peter_DeFazio,Peter A. DeFazio,male,white,catholicism,1947-05-27,,"42.28333,-71.23333",,4.0,True,True,True,True
Kurt,Schrader,D,,,,,,,,,16936033.0,Q1387868,Kurt_Schrader,Kurt Schrader,male,white,,1951-10-19,,"41.18333,-73.2",,4.0,True,True,True,True
Mike,Kelly,R,,,,,,,,,28932861.0,Q1431761,Mike_Kelly_(Pennsylvania_politician),Mike Kelly,male,white,,1948-05-10,,"40.86056,-79.89472",,4.0,True,True,True,True
Scott,Perry,R,,,,,,,,,19558869.0,Q7437040,Scott_Perry_(politician),Scott Perry,male,white,,1962-05-27,,"32.715,-117.1625",,4.0,True,True,True,True
Glenn,Thompson,R,,,,,,,,,16879645.0,Q1531120,Glenn_Thompson_(politician),Glenn Thompson,male,white,,1959-07-27,,"40.91472,-77.77472",,4.0,True,True,True,True
Tom,Marino,R,,,,,,,,,29194432.0,Q2439864,Tom_Marino,Tom Marino,male,white,,1952-08-13,,"41.2444,-77.0186",,4.0,True,True,True,True
Michael,Doyle,D,,,,,,,,,962284.0,Q1344200,Michael_F._Doyle,Michael F. Doyle,male,white,catholicism,1953-08-05,,"40.42222,-79.88611",,4.0,True,True,True,True
Matt,Cartwright,D,,,,,,,,,36081906.0,Q4111531,Matt_Cartwright,Matt Cartwright,male,white,,1961-05-01,,"42.12956,-80.08521",,4.0,True,True,True,True
James,Langevin,D,,,,,,,,,597070.0,Q1397290,James_Langevin,James Langevin,male,white,catholicism,1964-04-22,,"41.83083,-71.415",,4.0,True,True,True,True
Joe,Wilson,R,,,,,,,,,960817.0,Q928855,Joe_Wilson_(American_politician),Joe Wilson,male,white,protestantism reformed,1947-07-31,,"32.77611,-79.9325",,4.0,True,True,True,True
Jeff,Duncan,R,,,,,,,,,28875165.0,Q1027026,Jeff_Duncan_(politician),Jeff Duncan,male,white,,1966-01-07,,"34.39667,-82.245",,4.0,True,True,True,True
James,Clyburn,D,,,,,,,,,784733.0,Q1289889,Jim_Clyburn,James E. Clyburn,male,black,protestantism methodist,1940-07-21,,"33.92056,-80.34472",,4.0,True,True,True,True
Tom,Rice,R,,,,,,,,,36458259.0,Q3956858,Tom_Rice,Tom Rice,male,white,,1957-08-04,,"32.77611,-79.9325",,4.0,True,True,True,True
Phil,Roe,R,,,,,,,,,18766171.0,Q1665842,Phil_Roe_(politician),Phil Roe,male,white,,1945-07-21,,"36.52972,-87.35944",,4.0,True,True,True,True
Chuck,Fleischmann,R,,,,,,,,,28873545.0,Q521959,Chuck_Fleischmann,Chuck Fleischmann,male,white,,1962-10-11,,"40.72833,-73.99417",,4.0,True,True,True,True
Scott,DesJarlais,R,,,,,,,,,25435758.0,Q2260839,Scott_DesJarlais,Scott DesJarlais,male,white,,1964-02-21,,"41.59083,-93.62083",,4.0,True,True,True,True
Jim,Cooper,D,,,,,,,,,960988.0,Q973737,Jim_Cooper,Jim Cooper,male,white,anglicanism,1954-06-19,,"36.165,-86.78389",,4.0,True,True,True,True
Steve,Cohen,D,,,,,,,,,1239533.0,Q512330,Steve_Cohen,Steve Cohen,male,white,,1949-05-24,,"35.1175,-89.97111",,4.0,True,True,True,True
Louie,Gohmert,R,,,,,,,,,1131926.0,Q532647,Louie_Gohmert,Louie Gohmert,male,white,protestantism baptist,1953-08-18,,"32.99694,-94.96806",,4.0,True,True,True,True
Kevin,Brady,R,,,,,,,,,962112.0,Q472241,Kevin_Brady,Kevin Brady,male,white,catholicism,1955-04-11,,"42.78111,-96.92694",,4.0,True,True,True,True
Al,Green,D,,,,,,,,,517069.0,Q749039,Al_Green_(politician),Al Green,male,black,protestantism baptist,1947-09-01,,"29.96667,-90.05",,4.0,True,True,True,True
Michael,McCaul,R,,,,,,,,,1132718.0,Q539509,Michael_McCaul,Michael McCaul,male,white,catholicism,1962-01-14,,"32.7825,-96.7975",,4.0,True,True,True,True
Mike,Conaway,R,,,,,,,,,1164022.0,Q538944,Mike_Conaway,Mike Conaway,male,white,protestantism baptist,1948-06-11,,"35.66278,-101.40167",,4.0,True,True,True,True
Kay,Granger,R,,,,,,,,,961487.0,Q468807,Kay_Granger,Kay Granger,female,white,protestantism methodist,1943-01-18,,"33.1261,-96.1097",,4.0,True,True,True,True
Mac,Thornberry,R,,,,,,,,,811163.0,Q539444,Mac_Thornberry,Mac Thornberry,male,white,protestantism reformed,1958-07-15,,"34.9364,-100.891",,4.0,True,True,True,True
Randy,Weber,R,,,,,,,,,36628753.0,Q4014569,Randy_Weber,Randy Weber,male,white,,1953-07-02,,"29.5544,-95.2958",,4.0,True,True,True,True
Bill,Flores,R,,,,,,,,,26953920.0,Q862103,Bill_Flores,Bill Flores,male,hispanic,,1954-02-25,,"41.14556,-104.80194",,4.0,True,True,True,True
Sheila,Jackson-Lee,D,,,,,,,,,479733.0,Q461734,Sheila_Jackson_Lee,Sheila Jackson-Lee,female,black,protestantism restorationism,1950-01-12,,"40.70417,-73.91778",,4.0,True,True,True,True
Joaquin,Castro,D,,,,,,,,,4160300.0,Q1167934,Joaquín_Castro,Joaquin Castro,male,hispanic,catholicism,1974-09-16,,"29.42861,-98.49333",,4.0,True,True,True,True
Pete,Olson,R,,,,,,,,,16835709.0,Q2073303,Pete_Olson,Pete Olson,male,white,protestantism methodist,1962-12-09,,"47.11437,-122.56459",,4.0,True,True,True,True
Kenny,Marchant,R,,,,,,,,,1166244.0,Q368184,Kenny_Marchant,Kenny Marchant,male,white,protestantism methodist,1951-02-23,,"33.58389,-96.18167",,4.0,True,True,True,True
Roger,Williams,R,,,,,,,,,3106028.0,Q4014560,Roger_Williams_(American_politician),Roger Williams,male,white,,1949-09-13,,"42.04114,-87.69006",,4.0,True,True,True,True
Michael,Burgess,R,,,,,,,,,962185.0,Q539521,Michael_C._Burgess,Michael C. Burgess,male,white,protestantism reformed,1950-12-23,,"44.0234,-92.46295",,4.0,True,True,True,True
Henry,Cuellar,D,,,,,,,,,1163464.0,Q539562,Henry_Cuellar,Henry Cuellar,male,hispanic,catholicism,1955-09-19,,"27.50611,-99.50722",,4.0,True,True,True,True
Eddie,Johnson,D,,,,,,,,,961356.0,Q461526,Eddie_Bernice_Johnson,Eddie Bernice Johnson,female,black,protestantism baptist,1935-12-03,,"31.55139,-97.15583",,4.0,True,True,True,True
John,Carter,R,,,,,,,,,20713710.0,Q369814,John_Carter_(Texas_politician),John Carter,male,white,catholicism,1941-11-06,,"29.76278,-95.38306",,4.0,True,True,True,True
Marc,Veasey,D,,,,,,,,,36608661.0,Q4068811,Marc_Veasey,Marc Veasey,male,black,,1971-01-03,,"32.75722,-97.33306",,4.0,True,True,True,True
Filemon,Vela,D,,,,,,,,,36781283.0,Q4069225,Filemon_Vela_Jr.,Filemon Vela Jr.,male,hispanic,,1963-02-13,,"26.2,-97.7",,4.0,True,True,True,True
Lloyd,Doggett,D,,,,,,,,,833550.0,Q363817,Lloyd_Doggett,Lloyd Doggett,male,white,protestantism methodist,1946-10-06,,"30.3,-97.73333",,4.0,True,True,True,True
Rob,Bishop,R,,,,,,,,,595346.0,Q433857,Rob_Bishop,Rob Bishop,male,white,protestantism restorationism,1951-07-13,,"41.03306,-111.93611",,4.0,True,True,True,True
Chris,Stewart,R,,,,,,,,,34635017.0,Q4068880,Chris_Stewart_(politician),Chris Stewart,male,white,,1960-07-15,,"41.73778,-111.83083",,4.0,True,True,True,True
Peter,Welch,D,,,,,,,,,5255966.0,Q1112656,Peter_Welch,Peter Welch,male,white,catholicism,1947-05-02,,"42.11241,-72.54745",,4.0,True,True,True,True
Rob,Wittman,R,,,,,,,,,14187724.0,Q541251,Rob_Wittman,Rob Wittman,male,white,anglicanism,1959-02-03,,"38.895,-77.03667",,4.0,True,True,True,True
Robert,Scott,D,,,,,,,,,964012.0,Q888668,Bobby_Scott_(politician),Robert C. Scott,male,asian,anglicanism,1947-04-30,,"38.895,-77.03667",,4.0,True,True,True,True
Morgan,Griffith,R,,,,,,,,,7182245.0,Q1684857,Morgan_Griffith,Morgan Griffith,male,white,anglicanism,1958-03-15,,"39.95278,-75.16361",,4.0,True,True,True,True
Suzan,DelBene,D,,,,,,,,,21763937.0,Q2091892,Suzan_DelBene,Suzan DelBene,female,white,,1962-02-17,,"32.41,-87.02",,4.0,True,True,True,True
Rick,Larsen,D,,,,,,,,,412678.0,Q503529,Rick_Larsen,Rick Larsen,male,white,protestantism methodist,1965-06-15,,"48.1811,-122.139",,4.0,True,True,True,True
Jaime,Beutler,R,,,,,,,,,14932561.0,Q168592,Jaime_Herrera_Beutler,Jaime Herrera Beutler,female,hispanic,,1978-11-03,,"34.17083,-118.25",,4.0,True,True,True,True
Cathy,McMorris,R,,,,,,,,,810136.0,Q293343,Cathy_McMorris_Rodgers,Cathy McMorris,female,white,protestantism evangelical,1969-05-22,,"44.93083,-123.02889",,4.0,True,True,True,True
Derek,Kilmer,D,,,,,,,,,16128418.0,Q4068828,Derek_Kilmer,Derek Kilmer,male,white,,1974-01-01,,"48.1131,-123.441",,4.0,True,True,True,True
Adam,Smith,D,,,,,,,,,410158.0,Q350916,Adam_Smith_(politician),Adam Smith,male,white,anglicanism,1965-06-15,,"38.895,-77.03667",,4.0,True,True,True,True
Dennis,Heck,D,,,,,,,,,2350368.0,Q4068793,Denny_Heck,Dennis Heck,male,white,,1952-07-29,,"45.63361,-122.60278",,4.0,True,True,True,True
David,McKinley,R,,,,,,,,,28512638.0,Q1175610,David_McKinley,David McKinley,male,white,,1947-03-28,,"40.07028,-80.69861",,4.0,True,True,True,True
Mark,Pocan,D,,,,,,,,,6950063.0,Q1900355,Mark_Pocan,Mark Pocan,male,white,,1964-08-14,,"42.58222,-87.84556",,4.0,True,True,True,True
Ron,Kind,D,,,,,,,,,409010.0,Q505222,Ron_Kind,Ron Kind,male,white,protestantism lutheran,1963-03-16,,"43.81333,-91.23306",,4.0,True,True,True,True
Gwen,Moore,D,,,,,,,,,1166150.0,Q461698,Gwen_Moore,Gwen Moore,female,black,protestantism baptist,1951-04-18,,"42.72611,-87.80583",,4.0,True,True,True,True
James,Sensenbrenner,R,,,,,,,,,18935446.0,Q952268,Jim_Sensenbrenner,"F. James Sensenbrenner, Jr.",male,white,anglicanism,1943-06-14,,"41.88194,-87.62778",,4.0,True,True,True,True
Sean,Duffy,R,,,,,,,,,7979337.0,Q1729888,Sean_Duffy,Sean Duffy,male,white,,1971-10-03,,"46.01,-91.48056",,4.0,True,True,True,True
Eleanor,Norton,D,,,,,,,,,309588.0,Q461649,Eleanor_Holmes_Norton,Eleanor Holmes Norton,female,black,anglicanism,1937-06-13,,"38.895,-77.03667",,4.0,True,True,True,True
Gregorio,Sablan,D,,,,,,,,,20224544.0,Q3116336,Gregorio_Sablan,Gregorio C. Sablan,male,islander,,1955-01-19,,"15.18333,145.75",,4.0,True,True,True,True
