person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Bloomberg_Donations_Diff,Citadel_Donations_Diff,Year_2012,Year_2014,Year_2016
0,0.75,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
0,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
0,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
1,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.3333333333333333,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
1,1.0,0.8,0.3333333333333333,0.6,0.75,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
1,0.6,0.8571428571428571,0.7777777777777778,1.0,1.0,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
2,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
2,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
2,1.0,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
3,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
3,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
3,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
4,0.8,0.8571428571428571,0.7777777777777778,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
4,1.0,1.0,1.0,0.5714285714285714,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
4,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
5,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
5,0.3333333333333333,0.6,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
5,0.6,0.5714285714285714,0.6666666666666666,0.5,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
6,0.75,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
6,0.3333333333333333,0.8,0.3333333333333333,0.6,0.75,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
6,0.8,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
7,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
7,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
7,0.8,0.7142857142857143,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
8,0.4,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0,0,1
8,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,1,0,0
8,0.3333333333333333,0.6,0.0,0.2,0.0,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0,1,0
9,0.25,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
9,0.3333333333333333,0.4,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
9,0.4,0.7142857142857143,0.8888888888888888,0.75,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
10,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
10,0.6666666666666666,0.4,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
10,0.4,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
11,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,1,0,0
11,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,0,1,0
11,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,0,0,1
12,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
12,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
12,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
13,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
13,0.6666666666666666,0.6,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
13,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
14,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
14,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
14,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
15,0.75,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
15,0.3333333333333333,0.8,0.3333333333333333,0.6,0.5,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
15,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
16,0.3333333333333333,0.2,0.3333333333333333,0.4,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
16,0.2,0.8571428571428571,0.7777777777777778,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
16,0.25,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
17,0.6,0.2857142857142857,0.4444444444444444,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
17,0.5,0.5,0.0,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
17,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
18,0.25,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
18,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
18,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
19,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
19,0.6666666666666666,0.8,0.3333333333333333,0.6,0.5,0,1,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
19,0.8,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0,1,1,0,0,0,0,0,1,0,TRAINING,1000.0,1000.0,0,0,1
20,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
20,1.0,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
20,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
21,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
21,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
21,0.25,0.5,0.0,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
22,0.25,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
22,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,200.0,200.0,0,1,0
22,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,-200.0,-200.0,0,0,1
23,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
23,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
23,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
24,0.0,0.3333333333333333,0.0,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
24,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
24,0.4,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
25,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,-45.0,-45.0,0,0,1
25,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,50.0,50.0,0,1,0
25,0.0,0.5,0.0,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
26,0.75,0.5,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
26,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
26,0.8,0.2857142857142857,0.8888888888888888,0.25,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
27,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
27,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
27,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
28,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
28,0.3333333333333333,0.6,0.0,0.2,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
28,0.4,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
29,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
29,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
29,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
30,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
30,0.6666666666666666,0.8,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
30,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
31,0.5,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
31,0.3333333333333333,0.8,0.3333333333333333,0.6,0.5,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
31,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TRAINING,396.0,396.0,0,0,1
32,0.25,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6666666666666666,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
32,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
32,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,1,0,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
33,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,5.0,5.0,0,0,1
33,0.25,0.5,0.3333333333333333,0.5714285714285714,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
33,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
34,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,TESTING,0.0,0.0,0,0,1
34,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,TESTING,0.0,0.0,0,1,0
34,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,TESTING,0.0,0.0,1,0,0
35,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
35,0.3333333333333333,0.8,0.3333333333333333,0.4,0.75,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
35,0.8,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
36,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
36,0.6666666666666666,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
36,0.6,0.2857142857142857,0.4444444444444444,0.5,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
37,0.5,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
37,0.6666666666666666,0.8,0.3333333333333333,0.6,0.25,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
37,0.8,0.2857142857142857,0.5555555555555556,0.0,0.0,0,1,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
38,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
38,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
38,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
39,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,1,0,0
39,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0,1,0
39,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0,0,1
40,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
40,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
40,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
41,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,TESTING,0.0,0.0,1,0,0
41,0.3333333333333333,0.6,0.0,0.2,0.0,0,1,1,0,0,0,0,0,1,0,TESTING,0.0,0.0,0,1,0
41,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,1,0,0,0,0,0,1,0,TESTING,0.0,0.0,0,0,1
42,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
42,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
42,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
43,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,1,0,0
43,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0,1,0
43,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0,0,1
44,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
44,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
44,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
45,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
45,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
45,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
46,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
46,0.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
46,0.0,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
47,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,1,0,0
47,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0,1,0
47,0.6,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0,0,1
48,0.8,0.5714285714285714,0.6666666666666666,0.25,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
48,0.5,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
48,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
49,0.5,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
49,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
49,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
50,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
50,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
50,0.6,0.14285714285714285,0.2222222222222222,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
51,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
51,0.75,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
51,0.6666666666666666,0.4,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
52,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
52,0.6666666666666666,0.4,0.3333333333333333,0.4,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
52,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
