person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Bloomberg_Donations_Diff,Citadel_Donations_Diff,Year_2012,Year_2014,Year_2016
165,0.6,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TRAINING,-5100.0,-5100.0,0,0,1
165,0.75,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,1250.0,1250.0,1,0,0
165,0.3333333333333333,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,1,0,TRAINING,19600.0,19600.0,0,1,0
166,0.25,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
166,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
166,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TESTING,50.0,50.0,0,0,1
167,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
167,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
167,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
168,0.25,0.5,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
168,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
168,0.8,0.14285714285714285,0.4444444444444444,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
169,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
169,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
169,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
170,0.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
170,0.0,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
170,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
171,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,TRAINING,0.0,0.0,1,0,0
171,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,TRAINING,0.0,0.0,0,1,0
171,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,TRAINING,0.0,0.0,0,0,1
172,0.25,0.5,0.3333333333333333,0.42857142857142855,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
172,0.3333333333333333,0.2,0.0,0.0,0.5,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
172,0.6,0.2857142857142857,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
173,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
173,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
173,0.5,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
174,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
174,0.6666666666666666,0.6,0.6666666666666666,0.8,1.0,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
174,0.6,0.7142857142857143,0.8888888888888888,1.0,1.0,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
175,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
175,0.6666666666666666,0.4,0.3333333333333333,0.6,0.5,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
175,0.8,0.7142857142857143,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
176,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
176,0.6666666666666666,0.8,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
176,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
177,0.2,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
177,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
177,0.6666666666666666,0.6,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
178,0.0,0.8333333333333334,0.3333333333333333,0.7142857142857143,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
178,0.0,0.6,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
178,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
179,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
179,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
179,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
180,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
180,0.6666666666666666,0.4,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
180,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
181,0.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
181,0.0,0.4,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
181,0.4,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
182,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
182,0.75,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
182,0.6666666666666666,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
183,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
183,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
183,0.4,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
184,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
184,0.6666666666666666,0.8,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
184,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
185,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
185,0.6666666666666666,0.6,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
185,0.8,0.7142857142857143,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
186,0.8,0.14285714285714285,0.6666666666666666,0.0,0.0,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
186,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
186,0.25,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
187,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
187,0.6666666666666666,0.4,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
187,0.4,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
188,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,1,0,0
188,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,0,1,0
188,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,0,0,1
189,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
189,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
189,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
190,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
190,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
190,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
191,0.8,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
191,0.5,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
191,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
192,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,1,0,0
192,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,0,1,0
192,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,TRAINING,0.0,0.0,0,0,1
193,0.25,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
193,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
193,0.8,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
194,0.5,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
194,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
194,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
195,0.8,0.7142857142857143,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
195,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
195,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
196,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
196,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
196,0.8,0.7142857142857143,0.7777777777777778,1.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
197,0.75,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.6666666666666666,0,1,0,0,0,0,1,0,0,1,TRAINING,0.0,0.0,1,0,0
197,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,1,0,0,1,TRAINING,0.0,0.0,0,1,0
197,0.6,0.7142857142857143,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,1,0,0,1,TRAINING,0.0,0.0,0,0,1
198,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
198,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
198,0.8,0.7142857142857143,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
199,0.8,0.8571428571428571,0.7777777777777778,1.0,1.0,0,1,0,0,0,0,1,0,0,1,TESTING,0.0,0.0,0,0,1
199,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,1,0,0,1,TESTING,0.0,0.0,0,1,0
199,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,1,0,0,1,TESTING,0.0,0.0,1,0,0
200,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
200,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
200,0.8,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
201,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
201,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
201,0.8,0.7142857142857143,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
202,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
202,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
202,0.4,0.42857142857142855,0.2222222222222222,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
203,0.8,0.2857142857142857,0.4444444444444444,0.25,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,0,1
203,0.3333333333333333,0.8,0.3333333333333333,0.4,0.75,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0,1,0
203,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,1,0,0
204,0.5,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
204,0.3333333333333333,0.6,0.0,0.6,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
204,0.8,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
205,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
205,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
205,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
206,0.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
206,0.0,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
206,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
207,0.6666666666666666,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
207,0.6,0.0,0.8888888888888888,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
207,0.75,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
208,0.0,0.0,0.8888888888888888,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
208,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
208,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
209,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
209,0.6666666666666666,0.6,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
209,0.4,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
210,0.0,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
210,0.0,0.6,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
210,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
211,0.5,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
211,0.6666666666666666,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
211,0.4,0.0,0.8888888888888888,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
212,0.0,0.0,0.8888888888888888,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
212,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
212,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
213,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
213,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
213,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
214,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
214,0.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
214,0.0,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
215,0.75,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
215,0.6666666666666666,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
215,0.8,0.0,0.8888888888888888,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
216,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
216,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
216,0.0,0.0,0.8888888888888888,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
217,0.8,0.8571428571428571,0.7777777777777778,0.75,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
217,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
217,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
218,0.5,0.5,0.3333333333333333,0.5714285714285714,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
218,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
218,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
219,0.0,0.5,0.3333333333333333,0.5714285714285714,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
219,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
219,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
220,0.5,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,1,0,0
220,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,1,0
220,0.8,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0,0,1
