person,Year,party_short,ethnicity,sex,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,Bloomberg_Donations,Citadel_Donations,Bloomberg_donations_lagMinus1,Citadel_donations_lagMinus1
0,2012,R,white,male,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2014,R,white,male,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
0,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
0,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
1,2012,R,white,female,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
1,2014,R,white,female,1.0,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
1,2016,R,white,female,0.6,0.8571428571428571,0.7777777777777778,1.0,1.0,0.0,0.0,0.0,0.0
1,2018,R,white,female,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
2,2012,R,white,male,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
2,2014,R,white,male,1.0,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
2,2016,R,white,male,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
2,2018,R,white,male,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
3,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
3,2014,R,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2016,R,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,R,white,male,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
4,2012,R,white,male,1.0,1.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
4,2014,R,white,male,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
4,2016,R,white,male,0.8,0.8571428571428571,0.7777777777777778,1.0,1.0,0.0,0.0,0.0,0.0
4,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
5,2012,R,white,male,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
5,2014,R,white,male,0.3333333333333333,0.6,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
5,2016,R,white,male,0.6,0.5714285714285714,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,0.0,0.0
5,2018,R,white,male,0.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
6,2012,D,black,female,0.75,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
6,2014,D,black,female,0.3333333333333333,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
6,2016,D,black,female,0.8,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
6,2018,D,black,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
7,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
7,2014,R,white,male,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0
7,2016,R,white,male,0.8,0.7142857142857143,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
7,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
8,2012,D,hispanic,male,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
8,2014,D,hispanic,male,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0
8,2016,D,hispanic,male,0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
8,2018,D,hispanic,male,1.0,0.75,1.0,1.0,1.0,0.0,0.0,,
9,2012,R,white,male,0.25,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
9,2014,R,white,male,0.3333333333333333,0.4,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
9,2016,R,white,male,0.4,0.7142857142857143,0.8888888888888888,0.75,1.0,0.0,0.0,0.0,0.0
9,2018,R,white,male,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
10,2012,R,white,male,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
10,2014,R,white,male,0.6666666666666666,0.4,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
10,2016,R,white,male,0.4,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
10,2018,R,white,male,0.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
11,2012,0,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2014,0,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2016,0,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2018,0,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
12,2014,R,white,male,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
12,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
12,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
13,2012,R,white,male,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
13,2014,R,white,male,0.6666666666666666,0.6,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
13,2016,R,white,male,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
13,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
14,2012,D,white,male,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
14,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
14,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
14,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
15,2012,D,hispanic,male,0.75,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
15,2014,D,hispanic,male,0.3333333333333333,0.8,0.3333333333333333,0.6,0.5,0.0,0.0,0.0,0.0
15,2016,D,hispanic,male,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
15,2018,D,hispanic,male,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,,
16,2012,R,white,male,0.25,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0
16,2014,R,white,male,0.3333333333333333,0.2,0.3333333333333333,0.4,0.75,0.0,0.0,0.0,0.0
16,2016,R,white,male,0.2,0.8571428571428571,0.7777777777777778,1.0,1.0,0.0,0.0,0.0,0.0
16,2018,R,white,male,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
17,2012,D,white,male,0.5,0.5,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
17,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
17,2016,D,white,male,0.6,0.2857142857142857,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
17,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
18,2012,D,asian,female,0.25,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
18,2014,D,asian,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
18,2016,D,asian,female,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
18,2018,D,asian,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
19,2012,D,asian,male,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
19,2014,D,asian,male,0.6666666666666666,0.8,0.3333333333333333,0.6,0.5,0.0,0.0,0.0,0.0
19,2016,D,asian,male,0.8,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1000.0,1000.0
19,2018,D,asian,male,1.0,1.0,1.0,1.0,1.0,1000.0,1000.0,,
20,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
20,2014,R,white,male,1.0,1.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
20,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
20,2018,R,white,male,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
21,2012,D,white,male,0.25,0.5,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
21,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
21,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
21,2018,D,white,male,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,,
22,2012,D,white,female,0.25,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.0
22,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,200.0,200.0
22,2016,D,white,female,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,200.0,200.0,0.0,0.0
22,2018,D,white,female,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
23,2012,D,white,female,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
23,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
23,2016,D,white,female,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
23,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
24,2012,D,white,female,0.0,0.3333333333333333,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
24,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
24,2016,D,white,female,0.4,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
24,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
25,2012,D,white,male,0.0,0.5,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
25,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,50.0,50.0
25,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,50.0,50.0,5.0,5.0
25,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,5.0,5.0,,
26,2012,D,white,male,0.75,0.5,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
26,2014,D,white,male,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0
26,2016,D,white,male,0.8,0.2857142857142857,0.8888888888888888,0.25,0.3333333333333333,0.0,0.0,0.0,0.0
26,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
27,2012,D,white,female,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
27,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
27,2016,D,white,female,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
27,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
28,2012,D,white,female,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.0,0.0,0.0,0.0
28,2014,D,white,female,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0
28,2016,D,white,female,0.4,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
28,2018,D,white,female,0.5,0.75,1.0,1.0,1.0,0.0,0.0,,
29,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
29,2014,R,white,male,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
29,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
29,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
30,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
30,2014,R,white,male,0.6666666666666666,0.8,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
30,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
30,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
31,2012,D,white,female,0.5,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
31,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.6,0.5,0.0,0.0,0.0,0.0
31,2016,D,white,female,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,0.0,0.0,396.0,396.0
31,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,396.0,396.0,,
32,2012,D,asian,female,0.25,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.0,0.0,0.0,0.0
32,2014,D,asian,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
32,2016,D,asian,female,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
32,2018,D,asian,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
33,2012,D,white,male,0.25,0.5,0.3333333333333333,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
33,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0.0,0.0
33,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,5.0,5.0
33,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,5.0,5.0,,
34,2012,0,hispanic,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2014,0,hispanic,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2016,0,hispanic,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2018,0,hispanic,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
35,2012,D,white,male,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
35,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.75,0.0,0.0,0.0,0.0
35,2016,D,white,male,0.8,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
35,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
36,2012,D,hispanic,female,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
36,2014,D,hispanic,female,0.6666666666666666,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
36,2016,D,hispanic,female,0.6,0.2857142857142857,0.4444444444444444,0.5,0.6666666666666666,0.0,0.0,0.0,0.0
36,2018,D,hispanic,female,0.5,0.75,1.0,1.0,1.0,0.0,0.0,,
37,2012,D,hispanic,male,0.5,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
37,2014,D,hispanic,male,0.6666666666666666,0.8,0.3333333333333333,0.6,0.25,0.0,0.0,0.0,0.0
37,2016,D,hispanic,male,0.8,0.2857142857142857,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
37,2018,D,hispanic,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
38,2012,D,black,female,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0
38,2014,D,black,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
38,2016,D,black,female,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
38,2018,D,black,female,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,,
39,2012,D,hispanic,female,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
39,2014,D,hispanic,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
39,2016,D,hispanic,female,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
39,2018,D,hispanic,female,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,,
40,2012,D,hispanic,female,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
40,2014,D,hispanic,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
40,2016,D,hispanic,female,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
40,2018,D,hispanic,female,0.5,0.75,1.0,1.0,1.0,0.0,0.0,,
41,2012,D,asian,male,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
41,2014,D,asian,male,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0
41,2016,D,asian,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
41,2018,D,asian,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
42,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
42,2014,R,white,male,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
42,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
42,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
43,2012,D,black,female,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
43,2014,D,black,female,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2016,D,black,female,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
43,2018,D,black,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
44,2012,D,white,male,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.0
44,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0.0,0.0
44,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
44,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
45,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
45,2014,R,white,male,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
45,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
45,2018,R,white,male,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
46,2012,R,white,male,0.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
46,2014,R,white,male,0.0,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
46,2016,R,white,male,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
46,2018,R,white,male,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
47,2012,D,hispanic,male,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
47,2014,D,hispanic,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0.0,0.0
47,2016,D,hispanic,male,0.6,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
47,2018,D,hispanic,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
48,2012,D,white,male,0.5,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
48,2014,D,white,male,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
48,2016,D,white,male,0.8,0.5714285714285714,0.6666666666666666,0.25,0.3333333333333333,0.0,0.0,0.0,0.0
48,2018,D,white,male,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,,
49,2012,D,white,female,0.5,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
49,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
49,2016,D,white,female,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
49,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
50,2012,D,white,female,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
50,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
50,2016,D,white,female,0.6,0.14285714285714285,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
50,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
51,2012,R,white,male,0.75,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
51,2014,R,white,male,0.6666666666666666,0.4,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
51,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
51,2018,R,white,male,0.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
52,2012,R,white,male,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
52,2014,R,white,male,0.6666666666666666,0.4,0.3333333333333333,0.4,0.75,0.0,0.0,0.0,0.0
52,2016,R,white,male,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
52,2018,R,white,male,0.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
53,2012,D,white,male,0.75,0.5,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
