person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,Year_2012,Year_2014,Year_2016,Year_2018,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Disney_Donations_Diff,Bloomberg_Donations_Diff,Citadel_Donations_Diff
4,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
4,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
4,0.0,0.42857142857142855,0.2222222222222222,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,1000.0,0.0,0.0
4,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
10,0.0,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,1,0,0,0,0,1,0,TRAINING,2000.0,0.0,0.0
10,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
10,0.0,0.2857142857142857,0.4444444444444444,0.25,0.3333333333333333,0,1,0,0,1,0,0,1,0,0,0,0,1,0,TRAINING,-1000.0,0.0,0.0
10,0.0,1.0,1.0,1.0,0.6666666666666666,0,1,0,0,0,1,0,1,0,0,0,0,1,0,TRAINING,,,
12,0.0,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
12,0.0,0.8,0.3333333333333333,0.4,1.0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
12,0.0,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
12,0.0,1.0,0.6666666666666666,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
14,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,TRAINING,,,
14,0.0,0.14285714285714285,0.3333333333333333,0.25,0.3333333333333333,0,1,0,0,1,0,0,1,0,0,0,0,1,0,TRAINING,3700.0,0.0,0.0
14,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
14,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
15,0.0,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
15,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
15,0.0,0.2857142857142857,0.4444444444444444,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
15,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,TESTING,,,
16,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
16,0.0,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
16,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
16,0.0,0.2857142857142857,0.4444444444444444,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
17,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
17,0.0,0.2857142857142857,0.4444444444444444,0.25,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
17,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
17,0.0,0.8,0.3333333333333333,0.4,0.75,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
18,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,1000.0,0.0,0.0
18,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,-1000.0,0.0,0.0
18,0.0,0.14285714285714285,0.2222222222222222,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
18,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
19,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
19,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
19,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,80.0,0.0,0.0
19,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
21,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
21,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
21,0.0,0.6,0.0,0.2,0.0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
21,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,-250.0,0.0,0.0
22,0.0,0.5,0.3333333333333333,0.5714285714285714,1.0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
22,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
22,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
22,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
23,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
23,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
23,0.0,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
23,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
24,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
24,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
24,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
24,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
28,0.0,0.75,1.0,1.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,TRAINING,,,
28,0.0,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
28,0.0,0.6,0.0,0.2,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
28,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
30,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
30,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
30,0.0,0.42857142857142855,0.4444444444444444,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
30,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,TRAINING,,,
34,0.0,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,-4675.0,0.0,0.0
34,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
34,0.0,0.2857142857142857,0.2222222222222222,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,2000.0,0.0,0.0
34,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
37,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
37,0.0,0.75,1.0,1.0,1.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,TESTING,,,
37,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,1,0,1,0,0,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
37,0.0,0.6,0.0,0.2,0.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
38,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
38,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
38,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
38,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
39,0.0,0.5,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
39,0.0,1.0,0.3333333333333333,0.6,0.75,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,1000.0,0.0,0.0
39,0.0,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,-1000.0,0.0,0.0
39,0.0,1.0,0.6666666666666666,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
40,0.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
40,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
40,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
40,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
41,0.0,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
41,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
41,0.0,0.8,0.3333333333333333,0.6,0.5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
41,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
42,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
42,0.0,0.6,0.3333333333333333,0.2,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,1300.0,0.0,0.0
42,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,-3300.0,0.0,0.0
42,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
43,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
43,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
43,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
43,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,1177.0,0.0,0.0
45,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,TRAINING,,,
45,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,TRAINING,3061.0,58.0,58.0
45,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
45,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
46,0.0,0.75,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
46,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
46,0.0,0.6,0.0,0.2,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
46,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
47,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,7300.0,7300.0
47,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
47,0.0,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,-2400.0,-2400.0
47,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,8200.0,8200.0
48,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
48,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
48,0.0,0.5,0.3333333333333333,0.5714285714285714,1.0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
48,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
49,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
49,0.0,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,834.0,834.0
49,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,500.0,500.0
49,0.0,0.5,0.0,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
52,0.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
52,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
52,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
52,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
56,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
56,0.0,0.6,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,1,0,0,0,0,1,0,TRAINING,1000.0,0.0,0.0
56,0.0,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,0,1,0,0,1,0,0,1,0,0,0,0,1,0,TRAINING,-1000.0,0.0,0.0
56,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,TRAINING,,,
60,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,-16750.0,-1000.0,-1000.0
60,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
60,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,6000.0,1000.0,1000.0
60,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,13250.0,1000.0,1000.0
61,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,1,0,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,0.0,0.2857142857142857,0.4444444444444444,0.5,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,0.0,0.75,1.0,1.0,1.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,TRAINING,,,
62,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,1500.0,0.0,0.0
62,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,-2500.0,0.0,0.0
62,0.0,0.2857142857142857,0.4444444444444444,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,1500.0,0.0,0.0
62,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
63,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,-1000.0,0.0,0.0
63,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,7500.0,0.0,0.0
63,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,-3000.0,25.0,25.0
63,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
64,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
64,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
64,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
64,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
66,0.0,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,2600.0,0.0,0.0
66,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,10.0,200.0,200.0
66,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,-1008.0,-200.0,-200.0
66,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
67,0.0,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,0.0,1.0,0.3333333333333333,0.6,1.0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,0.0,0.7142857142857143,0.8888888888888888,0.25,0.6666666666666666,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,0.0,0.75,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
68,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
